,actor.id,repo.id
0,9152315,28635890
1,5581438,26392647
3,66577,5152285
4,9221683,28520835
5,1174658,25334511
6,2875833,21995378
7,1317792,15526570
8,1373703,20268125
10,2676867,3633660
11,5545980,27858779
12,4070158,20469468
13,3495129,24147122
14,4443263,28677492
15,21826,20117626
17,2112033,28676854
19,1987779,5089162
20,1014189,15119415
21,372245,2941890
23,1106706,11134801
24,21826,18904157
25,5563373,28625970
26,227042,19073780
27,6158630,18126008
28,406946,26583093
29,926454,9457897
30,21826,21285335
31,1256464,15032738
34,21826,1755571
35,4447136,10314483
36,8526819,27407975
39,922837,17136520
40,429529,7588969
41,6158630,15100395
42,3960243,14201058
45,8147971,21783823
46,8770348,24030380
49,9201970,25173910
51,2318343,17101123
53,4102215,9317463
56,210848,28677532
58,2101973,24664906
60,201997,16334926
63,111138,9801943
66,1856621,20291263
67,428886,28635402
68,1386314,3287301
70,179131,5440447
73,5185561,28656308
74,42892,16972230
76,7925013,24087301
77,732173,27141908
81,2259834,28575703
85,3388704,28109544
86,8893238,28489784
87,5219176,28677493
88,416575,10672637
92,10160580,27897523
93,10085204,28677465
94,4064618,27842993
95,10262489,28675131
96,58937,28426815
97,49649,17179173
98,1799239,11879934
99,54995,11516694
100,720122,28677494
101,305268,23370782
103,210312,25281621
105,3721430,23848067
106,4083697,20542797
107,2624386,28677380
108,210312,16091467
110,370793,3652623
111,40799,2719509
112,720514,28412275
113,434239,28012363
114,901816,28554957
115,3432917,21943980
116,280212,21481110
117,5597157,28669146
121,9339661,26944422
122,111044,2847947
123,6064408,28595435
126,5912301,28677363
127,10343829,28650454
128,10239381,28212737
129,137,28648528
130,3858935,28573105
132,578549,28467587
134,512439,2990192
135,1692862,28643519
136,8759066,24008091
139,746282,28677261
143,785941,26393682
144,1684950,28650038
146,363764,9584741
153,23773,117358
154,4296161,25269682
156,1661812,28677540
165,4873274,28158260
168,594059,19122406
170,6248391,18495441
171,8228133,28286640
172,420995,3752513
175,537127,21009348
179,2651446,20405743
180,172588,3343348
181,3621988,27951593
182,984183,28672074
183,5131886,28634007
185,592109,21930526
186,10298641,28611069
187,3890972,26382386
193,10325861,28546548
196,2867549,28481110
198,6867251,28677526
205,510877,28573657
206,485776,4708471
207,8432323,28649593
208,3758576,27146749
209,1468831,15790644
210,8356935,27846248
211,87996,8733622
212,7833300,23265919
213,604177,19328708
218,515947,3483205
219,5472995,19051665
221,15566,10489159
222,2552068,18266208
223,280212,21481110
224,947888,17730345
225,4444926,10095561
230,1565825,4033349
231,4824042,24954215
232,6734064,28657214
234,6822704,23564009
236,5464110,28676524
240,944319,28674177
241,1935069,26125855
245,3495129,24147122
247,814471,17971324
249,5848566,13818463
252,9041575,28671282
254,6125159,26561827
255,7565298,21915008
257,896423,23717735
258,517210,14739084
259,370793,3652623
260,4054233,24212713
262,5912301,28677119
264,7043070,27941457
266,9514534,26488782
269,952533,28492762
272,2049650,19821157
273,6436073,27432101
274,5720924,27310102
275,1261574,22235943
279,5049548,27332639
280,287220,28608373
283,167995,10838237
284,6064408,28633990
287,3073864,7948981
290,1848287,5363116
292,944319,28674177
294,3124431,15237233
296,10345916,28621069
298,87996,8733622
299,1530418,27727002
302,5728403,25392255
303,144854,28677118
311,378310,27511719
312,567506,3893791
313,574123,28670264
314,1477455,28463415
315,100718,19986748
316,1210751,22939226
318,2001330,23362993
320,6324595,28490006
321,1616639,22839509
322,254985,12634704
323,7421004,27590695
324,827324,28605427
325,1305774,12798028
327,1345314,21612734
328,1334853,7517166
329,9409473,25796998
330,280212,21481110
331,6561166,22066165
332,8759066,24008091
333,10009240,28665140
334,475255,28580397
336,1946173,24353303
337,2001342,28639871
338,8495531,28675866
339,9201970,25173910
340,1192362,28677556
341,5960057,23820834
342,1170909,2293158
343,9467640,25984335
348,1100381,23557502
350,7959361,28659820
351,2830379,25601688
356,1245473,28495174
357,720376,18271108
358,2209144,28676842
359,5779735,23215539
360,9925986,27200556
365,5623501,28677574
367,3269485,25484806
369,6125159,26561827
370,7553153,19684176
371,59200,13544898
372,9925986,27200556
374,1799239,11879934
376,5807972,27900443
378,476440,28647308
379,3388704,28109544
382,5095603,4537725
383,2646487,28609230
384,58937,27485887
386,1572011,24309280
388,7216884,28677558
393,19950,23808489
394,353209,23720414
395,574123,28670264
396,6517097,26688311
397,1550925,28653103
398,6607768,28477784
399,71317,16833966
402,1125622,6439786
404,945283,19086266
405,126802,27038736
408,1056314,28579677
409,597300,28368906
411,1125622,6439865
413,429706,28254077
415,9409473,28493883
416,109715,28619818
417,8905372,28621174
418,251272,16081882
425,153271,27733828
426,469257,28674828
427,15566,10611388
429,377691,28382883
430,280212,21481110
431,22108,25711125
432,1457425,27384581
433,52883,27815771
434,8542195,25183290
436,833377,26193401
437,5068150,22265220
439,684117,28468923
440,1693164,25284691
442,5432054,12745236
443,277474,27626910
444,1872498,10594039
446,4804954,26843789
447,149467,28606962
448,5623501,25659059
450,510877,28573657
451,434239,28012363
454,3289214,28641135
455,28543,28673871
456,8683432,27059641
457,889804,27141302
458,31769,28677217
459,8132102,18663590
461,5814217,14313288
468,277474,27626910
469,1305774,12798028
470,5635733,27447751
471,1210751,22939226
475,1334884,26995510
477,5807972,27900443
478,6701030,16901435
481,1341245,17165658
482,8658959,28229892
483,6734064,28657214
485,305740,25260459
486,827324,28605427
